symbol,name,sector,fundamental_score,valuation_score,growth_score,quality_score,health_score,pe_ratio,pe_discount_pct,revenue_growth,earnings_growth,roe
IRMENERGY,IRM Energy Limited,Utilities,13,6,5,0,2,26.25573,21.5,0.044,1.906,0.054619998
CENTEXT,Century Extrusions Limited,Basic Materials,13,7,6,0,0,15.030074,38.7,0.183,0.161,
MENONBE,Menon Bearings Limited,Consumer Cyclical,12,1,5,4,2,26.33153,0.0,-0.267,0.292,0.22245
DATAPATTNS,Data Patterns (India) Limited,Industrials,12,0,3,4,5,79.99381,0.0,-0.115,0.212,0.1673
BIMETAL,Bimetal Bearings Limited,Consumer Cyclical,12,6,3,0,3,20.407608,25.3,0.182,-0.346,
NMDC,NMDC Limited,Basic Materials,12,7,3,2,0,11.644587,52.5,0.159,-0.065,
GAYAPROJ,Gayatri Projects Limited,Industrials,12,8,0,2,2,0.14587209,99.5,-0.328,,
DEEPINDS,Deep Industries Limited,Energy,12,3,5,2,2,,0.0,0.636,,0.09786
MALLCOM,Mallcom (India) Limited,Industrials,12,7,4,1,0,11.76498,59.8,0.114,0.125,
DBREALTY,Valor Estate Limited,Real Estate,12,2,10,0,0,60.680412,0.0,1.414,13.375,
HAL,Hindustan Aeronautics Limited,Industrials,12,1,1,5,5,32.154533,0.0,0.018,0.055,0.23979001
HISARMETAL,Hisar Metal Industries Limited,Basic Materials,12,4,8,0,0,27.777979,0.0,0.195,0.645,
PAR,Par Drugs and Chemicals Limited,Healthcare,12,8,0,2,2,7.7247787,78.1,-0.106,-0.485,0.124280006
NEPHROPLUS,NEPHROPLUS,Healthcare,12,2,10,0,0,90.95339,0.0,0.317,0.402,
HUDCO,Housing and Urban Development Corporation Limited,Financial Services,12,7,3,2,0,10.244544,44.3,0.161,-0.03,
NIITLTD,NIIT Limited,Consumer Defensive,12,3,5,0,4,38.1497,0.0,0.255,,0.00569
CRISIL,CRISIL Limited,Financial Services,12,0,10,2,0,36.101562,0.0,0.301,0.459,
INDOFARM,INDOFARM,Industrials,12,8,4,0,0,20.072533,31.3,0.101,0.149,
